id,keywords,year,_source
20091930,test,1930,https://digital.slub-dresden.de/werkansicht?tx_dlf%5Bid%5D=487034&cHash=de6c8783a013d448a216e93674727c52
22091930,test,1930,https://digital.slub-dresden.de/werkansicht?tx_dlf%5Bid%5D=487100&cHash=cbd839cd79b22e1020920bc2bb10f8e1
23091930,test,1930,https://digital.slub-dresden.de/werkansicht?tx_dlf%5Bid%5D=487101&cHash=93f9c8146f8a13a5a16ed539ff129c5e
24091930,test,1930,https://digital.slub-dresden.de/werkansicht?tx_dlf%5Bid%5D=487269&cHash=9255ff664bc9752ccebc67fdfe24b4fc
25091930,test,1930,https://digital.slub-dresden.de/werkansicht?tx_dlf%5Bid%5D=487035&cHash=60dd63e00c13f268476ee225a55211da
26091930,test,1930,https://digital.slub-dresden.de/werkansicht?tx_dlf%5Bid%5D=487051&cHash=d598090f8873e1a5ed18819de83eeb36
27091930,test,1930,https://digital.slub-dresden.de/werkansicht?tx_dlf%5Bid%5D=487189&cHash=7cf3f5fc849345222009494412008ef8
29091930,test,1930,https://digital.slub-dresden.de/werkansicht?tx_dlf%5Bid%5D=487295&cHash=196583540489f5c74324f46e5e1f3d2a
30091930,test,1930,https://digital.slub-dresden.de/werkansicht?tx_dlf%5Bid%5D=487171&cHash=3da8e10b84ae097a4737dbc97e16b7ed
01101930,test,1930,https://digital.slub-dresden.de/werkansicht?tx_dlf%5Bid%5D=487194&cHash=a0a81421370967b9191876b13f01365f
02101930,test,1930,https://digital.slub-dresden.de/werkansicht?tx_dlf%5Bid%5D=487111&cHash=efa396794305e2de6a7bf699001c8363
03101930,test,1930,https://digital.slub-dresden.de/werkansicht?tx_dlf%5Bid%5D=487014&cHash=f06b814b79dd38804ada3beca4f99a7a
04101930,test,1930,https://digital.slub-dresden.de/werkansicht?tx_dlf%5Bid%5D=487231&cHash=6edca534df0ed2a96155ad6fa905eae8
06101930,test,1930,https://digital.slub-dresden.de/werkansicht?tx_dlf%5Bid%5D=486979&cHash=8da23e15cb6fdaba964c92f857e5d2c2
07101930,test,1930,https://digital.slub-dresden.de/werkansicht?tx_dlf%5Bid%5D=487232&cHash=d849df4a6527b4cd09890691096238d3
08101930,test,1930,https://digital.slub-dresden.de/werkansicht?tx_dlf%5Bid%5D=486992&cHash=c128760c17cc31b29350810d8da75c63
09101930,test,1930,https://digital.slub-dresden.de/werkansicht?tx_dlf%5Bid%5D=487319&cHash=0e5c1b7bad852825d26f3723b3b9a5db
10101930,test,1930,https://digital.slub-dresden.de/werkansicht?tx_dlf%5Bid%5D=487365&cHash=4cb8bf2e656ce507566bc3b51571b21b
11101930,test,1930,https://digital.slub-dresden.de/werkansicht?tx_dlf%5Bid%5D=486993&cHash=684394ea4b75d9e6cfbf48bc12131112
13101930,test,1930,https://digital.slub-dresden.de/werkansicht?tx_dlf%5Bid%5D=487254&cHash=9b326cd73c0f4179d0835a4846141840
14101930,test,1930,https://digital.slub-dresden.de/werkansicht?tx_dlf%5Bid%5D=487112&cHash=a6275474ef198bdedd06b4b573d3569a
15101930,test,1930,https://digital.slub-dresden.de/werkansicht?tx_dlf%5Bid%5D=487314&cHash=2ae72445ec566aba3299a383c81e226c
16101930,test,1930,https://digital.slub-dresden.de/werkansicht?tx_dlf%5Bid%5D=487052&cHash=82c86c7bd6754c55c7affdb305a2e5ca
17101930,test,1930,https://digital.slub-dresden.de/werkansicht?tx_dlf%5Bid%5D=487113&cHash=2f7e05e11358c4c11208d54ce509fabe
18101930,test,1930,https://digital.slub-dresden.de/werkansicht?tx_dlf%5Bid%5D=487389&cHash=87911e7cba41a90ae39abf1a3fe39680
20101930,test,1930,https://digital.slub-dresden.de/werkansicht?tx_dlf%5Bid%5D=487065&cHash=de3b0cf6c97d8b609abb3c85930c3bbc
21101930,test,1930,https://digital.slub-dresden.de/werkansicht?tx_dlf%5Bid%5D=487179&cHash=d4f7b2a8d4c48e86dcc68b58e7acb1d5
22101930,test,1930,https://digital.slub-dresden.de/werkansicht?tx_dlf%5Bid%5D=487195&cHash=98f759cd9fe349ab012a2cc9c3183e32
23101930,test,1930,https://digital.slub-dresden.de/werkansicht?tx_dlf%5Bid%5D=487296&cHash=f9b6e9fc75f312add051406cc51c4b32
24101930,test,1930,https://digital.slub-dresden.de/werkansicht?tx_dlf%5Bid%5D=487122&cHash=61d34cce6ea8968c5245d036d33515ec
25101930,test,1930,https://digital.slub-dresden.de/werkansicht?tx_dlf%5Bid%5D=487036&cHash=d825cad2f6c8d51ed10925a007574536
27101930,test,1930,https://digital.slub-dresden.de/werkansicht?tx_dlf%5Bid%5D=486980&cHash=ad690be75a0af65f00c03cf17cd17e3e
28101930,test,1930,https://digital.slub-dresden.de/werkansicht?tx_dlf%5Bid%5D=487025&cHash=c30d06e495e2ed72ac703d9a047ae4d6
29101930,test,1930,https://digital.slub-dresden.de/werkansicht?tx_dlf%5Bid%5D=487345&cHash=5b7f15b3f2b67821ded5aa31dcec23d9
30101930,test,1930,https://digital.slub-dresden.de/werkansicht?tx_dlf%5Bid%5D=486964&cHash=7ec94c413d5f052cf3b4c5fdb05cf633
01111930,test,1930,https://digital.slub-dresden.de/werkansicht?tx_dlf%5Bid%5D=487211&cHash=2f3262aef680b5c094103292dfcb5911
03111930,test,1930,https://digital.slub-dresden.de/werkansicht?tx_dlf%5Bid%5D=487380&cHash=cddd0ad6193829e210befe9ad6b3d344
04111930,test,1930,https://digital.slub-dresden.de/werkansicht?tx_dlf%5Bid%5D=487279&cHash=8e64e7aadcef792923025f90f7a243c0
05111930,test,1930,https://digital.slub-dresden.de/werkansicht?tx_dlf%5Bid%5D=487015&cHash=8ebba7961f66054899444c2cc2f77d18
06111930,test,1930,https://digital.slub-dresden.de/werkansicht?tx_dlf%5Bid%5D=487297&cHash=0da228d18d21c65fb347feaf9dc82852
07111930,test,1930,https://digital.slub-dresden.de/werkansicht?tx_dlf%5Bid%5D=487134&cHash=06abebcfcde7c147e2ac5ea7dac96c93
08111930,test,1930,https://digital.slub-dresden.de/werkansicht?tx_dlf%5Bid%5D=487037&cHash=251783f3d660f0e1b49c3d519a8b398d
10111930,test,1930,https://digital.slub-dresden.de/werkansicht?tx_dlf%5Bid%5D=487123&cHash=9c27f689c6fc073f38823750490b989d
11111930,test,1930,https://digital.slub-dresden.de/werkansicht?tx_dlf%5Bid%5D=487390&cHash=354862f6f55512e3e284297a5905b3b5
12111930,test,1930,https://digital.slub-dresden.de/werkansicht?tx_dlf%5Bid%5D=487346&cHash=03440b83424132cc09a494c18032c236
13111930,test,1930,https://digital.slub-dresden.de/werkansicht?tx_dlf%5Bid%5D=487366&cHash=ae0b75c8ecb98d5d9a7243ffad1e8554
14111930,test,1930,https://digital.slub-dresden.de/werkansicht?tx_dlf%5Bid%5D=487212&cHash=e73499b048fe0b9cd004accc24942e8d
